SNMPv2-MIB::sysDescr.0 = STRING: 3Com Switch 4210 26-Port Software Version 3Com OS V3.01.05s56
SNMPv2-MIB::sysObjectID.0 = OID: SNMPv2-SMI::enterprises.43.1.16.4.3.44
DISMAN-EVENT-MIB::sysUpTimeInstance = Timeticks: (2423318) 6:43:53.18
SNMPv2-MIB::sysContact.0 = STRING: 3Com Corporation.
SNMPv2-MIB::sysName.0 = STRING: sw-aula-n2i-1
SNMPv2-MIB::sysLocation.0 = STRING: Marlborough, MA 01752 USA
SNMPv2-MIB::sysServices.0 = INTEGER: 78
IF-MIB::ifNumber.0 = INTEGER: 32
IF-MIB::ifIndex.14 = INTEGER: 14
IF-MIB::ifIndex.16 = INTEGER: 16
IF-MIB::ifIndex.1615 = INTEGER: 1615
IF-MIB::ifIndex.4227614 = INTEGER: 4227614
IF-MIB::ifIndex.4227626 = INTEGER: 4227626
IF-MIB::ifIndex.4227634 = INTEGER: 4227634
IF-MIB::ifIndex.4227642 = INTEGER: 4227642
IF-MIB::ifIndex.4227650 = INTEGER: 4227650
IF-MIB::ifIndex.4227658 = INTEGER: 4227658
IF-MIB::ifIndex.4227666 = INTEGER: 4227666
IF-MIB::ifIndex.4227674 = INTEGER: 4227674
IF-MIB::ifIndex.4227682 = INTEGER: 4227682
IF-MIB::ifIndex.4227690 = INTEGER: 4227690
IF-MIB::ifIndex.4227698 = INTEGER: 4227698
IF-MIB::ifIndex.4227706 = INTEGER: 4227706
IF-MIB::ifIndex.4227714 = INTEGER: 4227714
IF-MIB::ifIndex.4227722 = INTEGER: 4227722
IF-MIB::ifIndex.4227730 = INTEGER: 4227730
IF-MIB::ifIndex.4227738 = INTEGER: 4227738
IF-MIB::ifIndex.4227746 = INTEGER: 4227746
IF-MIB::ifIndex.4227754 = INTEGER: 4227754
IF-MIB::ifIndex.4227762 = INTEGER: 4227762
IF-MIB::ifIndex.4227770 = INTEGER: 4227770
IF-MIB::ifIndex.4227778 = INTEGER: 4227778
IF-MIB::ifIndex.4227786 = INTEGER: 4227786
IF-MIB::ifIndex.4227794 = INTEGER: 4227794
IF-MIB::ifIndex.4227802 = INTEGER: 4227802
IF-MIB::ifIndex.4227810 = INTEGER: 4227810
IF-MIB::ifIndex.4227817 = INTEGER: 4227817
IF-MIB::ifIndex.4227825 = INTEGER: 4227825
IF-MIB::ifIndex.4227833 = INTEGER: 4227833
IF-MIB::ifIndex.4227841 = INTEGER: 4227841
IF-MIB::ifDescr.14 = STRING: NULL0
IF-MIB::ifDescr.16 = STRING: InLoopBack0
IF-MIB::ifDescr.1615 = STRING: Vlan-interface199
IF-MIB::ifDescr.4227614 = STRING: Aux1/0/0
IF-MIB::ifDescr.4227626 = STRING: Ethernet1/0/1
IF-MIB::ifDescr.4227634 = STRING: Ethernet1/0/2
IF-MIB::ifDescr.4227642 = STRING: Ethernet1/0/3
IF-MIB::ifDescr.4227650 = STRING: Ethernet1/0/4
IF-MIB::ifDescr.4227658 = STRING: Ethernet1/0/5
IF-MIB::ifDescr.4227666 = STRING: Ethernet1/0/6
IF-MIB::ifDescr.4227674 = STRING: Ethernet1/0/7
IF-MIB::ifDescr.4227682 = STRING: Ethernet1/0/8
IF-MIB::ifDescr.4227690 = STRING: Ethernet1/0/9
IF-MIB::ifDescr.4227698 = STRING: Ethernet1/0/10
IF-MIB::ifDescr.4227706 = STRING: Ethernet1/0/11
IF-MIB::ifDescr.4227714 = STRING: Ethernet1/0/12
IF-MIB::ifDescr.4227722 = STRING: Ethernet1/0/13
IF-MIB::ifDescr.4227730 = STRING: Ethernet1/0/14
IF-MIB::ifDescr.4227738 = STRING: Ethernet1/0/15
IF-MIB::ifDescr.4227746 = STRING: Ethernet1/0/16
IF-MIB::ifDescr.4227754 = STRING: Ethernet1/0/17
IF-MIB::ifDescr.4227762 = STRING: Ethernet1/0/18
IF-MIB::ifDescr.4227770 = STRING: Ethernet1/0/19
IF-MIB::ifDescr.4227778 = STRING: Ethernet1/0/20
IF-MIB::ifDescr.4227786 = STRING: Ethernet1/0/21
IF-MIB::ifDescr.4227794 = STRING: Ethernet1/0/22
IF-MIB::ifDescr.4227802 = STRING: Ethernet1/0/23
IF-MIB::ifDescr.4227810 = STRING: Ethernet1/0/24
IF-MIB::ifDescr.4227817 = STRING: GigabitEthernet1/0/25
IF-MIB::ifDescr.4227825 = STRING: GigabitEthernet1/0/26
IF-MIB::ifDescr.4227833 = STRING: GigabitEthernet1/0/27
IF-MIB::ifDescr.4227841 = STRING: GigabitEthernet1/0/28
IF-MIB::ifType.14 = INTEGER: other(1)
IF-MIB::ifType.16 = INTEGER: softwareLoopback(24)
IF-MIB::ifType.1615 = INTEGER: l3ipvlan(136)
IF-MIB::ifType.4227614 = INTEGER: ppp(23)
IF-MIB::ifType.4227626 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227634 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227642 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227650 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227658 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227666 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227674 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227682 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227690 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227698 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227706 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227714 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227722 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227730 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227738 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227746 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227754 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227762 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227770 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227778 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227786 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227794 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227802 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227810 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4227817 = INTEGER: gigabitEthernet(117)
IF-MIB::ifType.4227825 = INTEGER: gigabitEthernet(117)
IF-MIB::ifType.4227833 = INTEGER: gigabitEthernet(117)
IF-MIB::ifType.4227841 = INTEGER: gigabitEthernet(117)
IF-MIB::ifMtu.14 = INTEGER: 1500
IF-MIB::ifMtu.16 = INTEGER: 1536
IF-MIB::ifMtu.1615 = INTEGER: 1500
IF-MIB::ifMtu.4227614 = INTEGER: 1500
IF-MIB::ifMtu.4227626 = INTEGER: 1522
IF-MIB::ifMtu.4227634 = INTEGER: 1522
IF-MIB::ifMtu.4227642 = INTEGER: 1522
IF-MIB::ifMtu.4227650 = INTEGER: 1522
IF-MIB::ifMtu.4227658 = INTEGER: 1522
IF-MIB::ifMtu.4227666 = INTEGER: 1522
IF-MIB::ifMtu.4227674 = INTEGER: 1522
IF-MIB::ifMtu.4227682 = INTEGER: 1522
IF-MIB::ifMtu.4227690 = INTEGER: 1522
IF-MIB::ifMtu.4227698 = INTEGER: 1522
IF-MIB::ifMtu.4227706 = INTEGER: 1522
IF-MIB::ifMtu.4227714 = INTEGER: 1522
IF-MIB::ifMtu.4227722 = INTEGER: 1522
IF-MIB::ifMtu.4227730 = INTEGER: 1522
IF-MIB::ifMtu.4227738 = INTEGER: 1522
IF-MIB::ifMtu.4227746 = INTEGER: 1522
IF-MIB::ifMtu.4227754 = INTEGER: 1522
IF-MIB::ifMtu.4227762 = INTEGER: 1522
IF-MIB::ifMtu.4227770 = INTEGER: 1522
IF-MIB::ifMtu.4227778 = INTEGER: 1522
IF-MIB::ifMtu.4227786 = INTEGER: 1522
IF-MIB::ifMtu.4227794 = INTEGER: 1522
IF-MIB::ifMtu.4227802 = INTEGER: 1522
IF-MIB::ifMtu.4227810 = INTEGER: 1522
IF-MIB::ifMtu.4227817 = INTEGER: 1522
IF-MIB::ifMtu.4227825 = INTEGER: 1522
IF-MIB::ifMtu.4227833 = INTEGER: 1522
IF-MIB::ifMtu.4227841 = INTEGER: 1522
IF-MIB::ifSpeed.14 = Gauge32: 0
IF-MIB::ifSpeed.16 = Gauge32: 0
IF-MIB::ifSpeed.1615 = Gauge32: 0
IF-MIB::ifSpeed.4227614 = Gauge32: 0
IF-MIB::ifSpeed.4227626 = Gauge32: 100000000
IF-MIB::ifSpeed.4227634 = Gauge32: 100000000
IF-MIB::ifSpeed.4227642 = Gauge32: 100000000
